index,card_name,set_name,card_market_value,card_id,set_id,card_number,binder_name,page_number,slot_number
1-1-1,Alakazam,Base,56.08,base1-1,base1,1,1,1,1
1-1-2,Blastoise,Base,157.93,base1-2,base1,2,1,1,2
1-1-3,Chansey,Base,29.34,base1-3,base1,3,1,1,3
1-1-4,Charizard,Base,457.99,base1-4,base1,4,1,1,4
1-1-5,Clefairy,Base,25.98,base1-5,base1,5,1,1,5
1-1-6,Gyarados,Base,32.97,base1-6,base1,6,1,1,6
1-1-7,Hitmonchan,Base,18.57,base1-7,base1,7,1,1,7
1-1-8,Machamp,Base,0.0,base1-8,base1,8,1,1,8
1-1-9,Magneton,Base,20.42,base1-9,base1,9,1,1,9
1-2-1,Mewtwo,Base,37.49,base1-10,base1,10,1,2,1
1-2-2,Nidoking,Base,28.56,base1-11,base1,11,1,2,2
1-2-3,Ninetales,Base,23.33,base1-12,base1,12,1,2,3
1-2-4,Poliwrath,Base,20.86,base1-13,base1,13,1,2,4
1-2-5,Raichu,Base,43.95,base1-14,base1,14,1,2,5
1-2-6,Venusaur,Base,117.19,base1-15,base1,15,1,2,6
1-2-7,Zapdos,Base,38.26,base1-16,base1,16,1,2,7
1-2-8,Beedrill,Base,3.77,base1-17,base1,17,1,2,8
1-2-9,Dragonair,Base,14.5,base1-18,base1,18,1,2,9
1-3-1,Dugtrio,Base,6.43,base1-19,base1,19,1,3,1
1-3-2,Electabuzz,Base,7.27,base1-20,base1,20,1,3,2
1-3-3,Electrode,Base,6.72,base1-21,base1,21,1,3,3
1-3-4,Pidgeotto,Base,9.03,base1-22,base1,22,1,3,4
1-3-5,Arcanine,Base,2.81,base1-23,base1,23,1,3,5
1-3-6,Charmeleon,Base,1.71,base1-24,base1,24,1,3,6
1-3-7,Dewgong,Base,2.21,base1-25,base1,25,1,3,7
1-3-8,Dratini,Base,1.81,base1-26,base1,26,1,3,8
1-3-9,Farfetch'd,Base,1.08,base1-27,base1,27,1,3,9
1-4-1,Growlithe,Base,0.98,base1-28,base1,28,1,4,1
1-4-2,Haunter,Base,1.44,base1-29,base1,29,1,4,2
1-4-3,Ivysaur,Base,2.26,base1-30,base1,30,1,4,3
1-4-4,Jynx,Base,0.69,base1-31,base1,31,1,4,4
1-4-5,Kadabra,Base,1.38,base1-32,base1,32,1,4,5
1-4-6,Kakuna,Base,1.02,base1-33,base1,33,1,4,6
1-4-7,Machoke,Base,0.62,base1-34,base1,34,1,4,7
